"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"344","Dewayne Dedmon","Mia","C","33.6","30","11.7","21.1","12.8","44","0.727","92","0.576","37","0.297","0.539","0.576","5.7","3.6","0.5","0.2","0.5","0.6","9.3","6.2","9.9","7.4","113.4","94.2"
"345","R.J. Hampton","Orl","G","22.1","26","13.9","18","15.5","37","0.838","61","0.525","53","0.34","0.518","0.572","5.7","1.5","1.3","0.6","0.2","0.8","7.2","7","8.5","6.4","111.5","111.8"
"346","Mike Muscala","Bos","F-C","31.7","9","17","14.6","10","2","0.5","10","0.7","35","0.343","0.556","0.556","5.7","3.1","0.2","0.4","0.3","0.6","8.8","5.9","9","3.6","102.8","104.4"
"347","Patrick Beverley","Chi","G","34.7","9","28.8","9.1","16.3","11","0.455","13","0.692","28","0.321","0.549","0.545","5.6","6.9","4","0.6","0.9","0.9","12.4","9.6","16.4","7.5","126.3","104.9"
"348","Alex Caruso","Chi","G","29","57","24.1","11.2","22.7","69","0.812","119","0.529","129","0.357","0.532","0.575","5.6","3.1","3.1","1.6","0.6","1.3","8.7","8.7","11.8","6.3","112.5","103.8"
"349","Ousmane Dieng","Okc","F","19.8","27","16.1","15.6","10.3","17","0.588","64","0.578","75","0.293","0.504","0.512","5.6","3","1.1","0.4","0.2","0.6","8.6","6.7","9.7","6.6","105.6","109.3"
"350","Kevin Knox II","Det","F","23.6","42","14.1","16.1","15.1","33","0.788","63","0.651","116","0.371","0.589","0.612","5.6","2.6","0.4","0.3","0.3","0.8","8.2","6","8.6","5.1","109.7","108.1"
"351","Saben Lee","Pho","G","23.7","20","14.6","18.2","19.2","47","0.766","65","0.415","19","0.368","0.446","0.53","5.6","1.9","2.7","0.7","0.1","1","7.4","8.2","10.1","8.4","112.9","107.9"
"352","Theo Maledon","Cha","G","21.8","36","16.1","15.6","18.2","56","0.875","94","0.468","63","0.333","0.481","0.551","5.6","2.4","2.4","0.8","0.2","1","7.9","7.9","10.3","7.9","110.5","111.7"
"353","Davion Mitchell","Sac","G","24.5","68","17.9","14.3","14.3","28","0.786","173","0.578","163","0.325","0.534","0.547","5.6","1.3","2.2","0.5","0.2","0.8","6.9","7.8","9","5.6","109.5","112.6"
"354","Derrick Rose","Nyk","G","34.4","27","12.5","23.7","12.1","12","0.917","96","0.438","63","0.302","0.443","0.463","5.6","1.5","1.7","0.3","0.2","0.8","7.1","7.3","8.8","7.8","99.3","113"
"355","Ricky Rubio","Cle","G","32.4","23","16.9","18.8","15.8","26","0.769","64","0.422","64","0.281","0.422","0.459","5.6","2.4","3.4","1","0.2","1","8","9","11.3","8.5","103.1","102.8"
"356","Montrezl Harrell","Phi","F-C","29.1","51","12.3","18.1","14.3","85","0.694","184","0.609","2","0","0.602","0.633","5.5","2.7","0.6","0.3","0.5","0.6","8.3","6.2","8.9","6.7","125.7","104.2"
"357","Jaxson Hayes","Nor","C-F","22.8","42","14.1","15.6","16.6","83","0.699","123","0.667","27","0.111","0.577","0.619","5.5","3","0.8","0.5","0.5","0.7","8.5","6.3","9.4","6.7","119.7","104.1"
"358","Nikola Jovic","Mia","F","19.8","15","13.6","18.9","12.6","19","0.947","34","0.588","35","0.229","0.464","0.53","5.5","2.1","0.7","0.5","0.1","0.7","7.5","6.1","8.2","5.9","105.9","105.8"
"359","John Konchar","Mem","G","27","60","21.6","10.5","10.2","33","0.818","124","0.524","158","0.361","0.534","0.553","5.5","4.3","1.4","1","0.3","0.5","9.8","6.9","11.2","5.9","117.6","105.4"
"360","Otto Porter Jr.","Tor","F","29.8","8","18.3","10.9","11.6","8","1","13","0.692","17","0.353","0.6","0.656","5.5","2.4","1","1.4","0","0.5","7.9","6.5","8.9","5.2","132.4","111.9"
"361","Lamar Stevens","Cle","F","25.7","52","18.1","13.7","9","49","0.735","162","0.531","80","0.325","0.517","0.543","5.5","3.3","0.6","0.4","0.3","0.5","8.8","6.1","9.3","4.9","111.8","106.7"
"362","Darius Bazley","Okc","F-G","22.8","36","15.4","15.7","12.2","65","0.554","113","0.469","45","0.4","0.506","0.525","5.4","3.4","0.9","0.5","0.8","0.6","8.8","6.3","9.7","6.6","108.4","110"
"363","Vlatko Cancar","Den","F","25.9","51","15.7","13.8","13.3","34","0.912","103","0.583","105","0.4","0.591","0.621","5.4","2.3","1.4","0.4","0.2","0.6","7.7","6.9","9.1","6.6","121.5","108.6"
"364","Rodney McGruder","Det","G","31.6","30","15.3","13.8","7","17","0.765","47","0.362","85","0.447","0.561","0.577","5.4","2","0.8","0.4","0","0.3","7.4","6.2","8.2","5.4","120.5","115.1"
"365","Julian Champagnie","San","F","21.7","3","10.3","16","8.3","0","0","2","1","9","0.444","0.727","0.727","5.3","2.3","0.7","0","0","0.3","7.7","6","8.3","7.9","134.4","120.3"
"366","Josh Christopher","Hou","G","21.3","51","11.4","21.5","16.3","44","0.75","169","0.538","67","0.284","0.506","0.533","5.3","1.1","1","0.4","0.2","0.9","6.5","6.4","7.5","6.3","101.7","114.5"
